dia,colonia_A,colonia_B,colonia_C,nascimentos,mortes,folhas,frutos
817,44,0,0,264,343,1.0,0.6999999999999872
818,44,0,0,264,343,1.0,0.9999999999999871
819,44,0,0,264,343,1.0,1.2999999999999872
820,44,0,0,264,343,1.0,0.5999999999999872
821,44,0,0,264,343,1.0,0.8999999999999873
822,44,0,0,264,343,1.0,1.1999999999999873
823,43,0,0,264,344,1.0,0.4999999999999873
824,43,0,0,264,344,1.0,0.7999999999999873
825,43,0,0,264,344,1.0,1.0999999999999872
826,43,0,0,264,344,1.0,0.3999999999999872
827,43,0,0,264,344,1.0,0.6999999999999872
828,43,0,0,264,344,1.0,0.9999999999999871
829,43,0,0,264,344,1.0,1.2999999999999872
830,43,0,0,264,344,1.0,0.5999999999999872
831,43,0,0,264,344,1.0,0.8999999999999873
832,42,0,0,264,345,1.0,1.1999999999999873
833,42,0,0,264,345,1.0,0.4999999999999873
834,42,0,0,264,345,1.0,0.7999999999999873
835,41,0,0,264,346,1.0,1.0999999999999872
836,41,0,0,264,346,1.0,0.3999999999999872
837,41,0,0,264,346,1.0,0.6999999999999872
838,41,0,0,264,346,1.0,0.9999999999999871
839,41,0,0,264,346,1.0,1.2999999999999872
840,41,0,0,264,346,1.0,0.5999999999999872
841,41,0,0,264,346,1.0,0.8999999999999873
842,41,0,0,264,346,1.0,1.1999999999999873
843,41,0,0,264,346,1.0,0.4999999999999873
844,41,0,0,264,346,1.0,0.7999999999999873
845,41,0,0,264,346,1.0,1.0999999999999872
846,42,0,0,265,346,1.0,0.3999999999999872
847,42,0,0,265,346,1.0,0.6999999999999872
848,42,0,0,265,346,1.0,0.9999999999999871
849,42,0,0,265,346,1.0,1.2999999999999872
850,42,0,0,265,346,1.0,0.5999999999999872
851,42,0,0,265,346,1.0,0.8999999999999873
852,43,0,0,266,346,1.0,1.1999999999999873
853,43,0,0,266,346,1.0,0.4999999999999873
854,43,0,0,266,346,1.0,0.7999999999999873
855,43,0,0,266,346,1.0,1.0999999999999872
856,43,0,0,266,346,1.0,0.3999999999999872
857,44,0,0,267,346,1.0,0.6999999999999872
858,44,0,0,267,346,1.0,0.9999999999999871
859,44,0,0,267,346,1.0,1.2999999999999872
860,44,0,0,267,346,1.0,0.5999999999999872
861,44,0,0,267,346,1.0,0.8999999999999873
862,44,0,0,267,346,1.0,1.1999999999999873
863,43,0,0,267,347,1.0,0.4999999999999873
864,43,0,0,267,347,1.0,0.7999999999999873
865,43,0,0,267,347,1.0,1.0999999999999872
866,43,0,0,267,347,1.0,0.3999999999999872
867,43,0,0,267,347,1.0,0.6999999999999872
868,43,0,0,267,347,1.0,0.9999999999999871
869,43,0,0,267,347,1.0,1.2999999999999872
870,43,0,0,267,347,1.0,0.5999999999999872
871,43,0,0,267,347,1.0,0.8999999999999873
872,43,0,0,267,347,1.0,1.1999999999999873
873,43,0,0,267,347,1.0,0.4999999999999873
874,43,0,0,267,347,1.0,0.7999999999999873
875,44,0,0,268,347,1.0,1.0999999999999872
876,44,0,0,268,347,1.0,0.3999999999999872
877,44,0,0,268,347,1.0,0.6999999999999872
878,44,0,0,268,347,1.0,0.9999999999999871
879,44,0,0,268,347,1.0,1.2999999999999872
880,44,0,0,268,347,1.0,0.5999999999999872
881,44,0,0,268,347,1.0,0.8999999999999873
882,44,0,0,268,347,1.0,1.1999999999999873
883,44,0,0,268,347,1.0,0.4999999999999873
884,44,0,0,268,347,1.0,0.7999999999999873
885,44,0,0,268,347,1.0,1.0999999999999872
886,45,0,0,269,347,1.0,0.3999999999999872
887,45,0,0,269,347,1.0,0.6999999999999872
888,45,0,0,269,347,1.0,0.9999999999999871
889,45,0,0,269,347,1.0,1.2999999999999872
890,45,0,0,269,347,1.0,0.5999999999999872
891,45,0,0,269,347,1.0,0.8999999999999873
